word,translation,type,pinyin,level
我,Je,Pronoms personnels,Wǒ,A1
你,Tu,Pronoms personnels,Nǐ,A1
他,Il,Pronoms personnels,Tā,A1
她,Elle,Pronoms personnels,Tā,A1
我们,Nous,Pronoms personnels,Wǒmen,A1
你们,Vous,Pronoms personnels,Nǐmen,A1
他们,Ils,Pronoms personnels,Tāmen,A1
她们,Elles,Pronoms personnels,Tāmen,A1
名字,Prénom,Noms et expressions,Mingzi,A1
人,Personne,Noms et expressions,Rén,A1
法国,France,Noms et expressions,Fǎguó,A1
法国人,Français,Noms et expressions,Fǎguórén,A1
日本,Japon,Noms et expressions,Riběn,A1
日本人,Japonais,Noms et expressions,Riběnrén,A1
中国,Chine,Noms et expressions,Zhōngguó,A1
中国人,Chinois,Noms et expressions,Zhōngguórén,A1
吗,Est-ce que,Interrogatifs,Ma,A1
哪,Lequel/Laquelle,Interrogatifs,Nǎ,A1
呢,Et/Qu'en est-il de,Interrogatifs,Ne,A1
什么,Quoi,Interrogatifs,Shénme,A1
叫,S'appeler,Verbes,Jiào,A1
是,Être,Verbes,Shì,A1
姓,Nom de famille,Verbes,Xìng,A1
不,Négation,Divers,Bù,A1
