character,components,phonetic,meaning,example_word
必,心 (clef : cœur) + 1 trait,bì,Devoir,必须 bìxū : Devoir
别,另 + 刂 (clef : couteau),bié,Autre,别的 biéde : Autres
成,戈 (clef : hallebarde) + 万,chéng,Devenir,成为 chéngwéi : Devenir
除,阝 (clef : butte) + 余,chú,Supprimer,除了 chúle : Excepté
春,三个日 (clef : soleil),chūn,Printemps,春天 chūntiān : Printemps
当,三个日 (clef : museau) + 小,dāng,Quand...,当然 dāngrán : Évidemment
定,宀 (clef : toit) + 5 traits,dìng,Décider,一定 yīdìng : Certain
等,竹 (clef : bambou) + 寺,děng,Attendre,我等着你 wǒ děng zhe nǐ : Je t'attends
房,户 (clef : porte) + 方,fáng,Maison,房子 fángzi : Maison
放,方 + 攵 (toquer),fàng,Déposer,放大 fàngdà : Zoomer
狗,犭 (clef : chien) + 句,gǒu,Chien,一只狗 yī zhī gǒu : Un chien
活,氵 (clef : eau) + 舌,huó,Vie,活动 huódòng : Activité
节,艹 (clef : herbe) + 2 traits,jié,Fête,节日 jiérì : Jour de fête
历,厂 (clef : falaise) + 力,lì,Calendrier,历史 lìshǐ : Histoire
龙,龙 (clef : dragon),lóng,Dragon,一条龙 yī tiáo lóng : Un dragon
位,亻 (clef : homme) + 立,wèi,Classificateur,一位老师 yī wèi lǎoshī : Un professeur
新,亲 + 斤 (clef : épée),xīn,Nouveau,新来的 xīn lái de : Nouveau venu
阳,阝 (clef : butte) + 日,yáng,Soleil,太阳 tàiyáng : Soleil
值,亻 (clef : homme) + 直,zhí,Valoir,值得 zhíde : Valable
