character,components,phonetic,meaning,example_word
发,又 (clef : de nouveau) + 3 traits,fā,Envoyer,发展 fāzhǎn : Développer
该,讠 (clef : parole) + 亥,gāi,Devoir,应该 yīnggāi : Devoir
给,纟 (clef : soie) + 合,gěi,Donner,给我 gěi wǒ : Me donner
关,八 (clef : huit) + 天,guān,Être en lien,关系 guānxì : Relation
果,木 (clef : arbre) + 田 (champ),guǒ,Fruit,如果 rúguǒ : Si...
就,京 + 尤 (clef : dragon),jiù,Alors/donc,就 jiù : Alors
来,木 (clef : arbre) + 3 traits,lái,Venir,你来吗 ? Nǐ lái ma ? Viens-tu ?
目,Pictogramme,mù,Œil,题目 tímù : Sujet
能,月/肉 (clef : viande) + 6 traits,néng,Pouvoir,不能 bù néng : Ne pas pouvoir
您,心 (clef : cœur) + 你,nín,Vous,您是谁 ? Nín shì shuí ? Qui êtes-vous ?
请,讠 (clef : parole) + 青,qǐng,Prier de...,请坐 qǐng zuò : Asseyez-vous
如,女 (clef : femme) + 口,rú,Si...,如果 rúguǒ : Si...
司,口 (clef : bouche) + 2 traits,sī,Privé,公司 gōngsī : Entreprise
系,纟 (clef : soie) + 1 trait,xì,Relier,关系 guānxì : Relation
医,匚 (clef : boîte) + 矢,yī,Médecine,医生 yīshēng : Médecin
应,广 + 4 traits,yīng,Consentir,应该 yīnggāi : Devoir
重,里 (clef : village) + 千,zhòng,Lourd,重要 zhòngyào : Important
主,亠 (clef : point) + 王,zhǔ,Principal,主意 zhǔyī : Idée
