character,components,phonetic,meaning,example_word
大,Pictogramme,dà,Grand (âge),你多大 ? Nǐ duō dà ? Quel âge as-tu ?
道,辶 (clef : marche) + 首,dào,Voie,知道 zhīdào : Savoir
的,白 (blanc) + 勺 (cuillère),de,Possessif,我的 wǒ de : Mon
高,亠 (clef : tête) + 口 + 回,gāo,Grand,我很高 wǒ hěn gāo : Je suis grand
和,口 (clef : bouche) + 禾,hé,Et/ainsi que,你和我 nǐ hé wǒ : Toi et moi
很,彳 (clef : pied) + 艮,hěn,Affirmation,我很小 wǒ hěn xiǎo : Je suis petit
化,亻 (clef : homme) + 七,huà,Transformation,-
可,口 (clef : bouche) + 丁,kě,Mais,可是 kěshì : Mais
老,老 (clef : vieillesse),lǎo,Vieux,他很老 tā hěn lǎo : Il est vieux
累,田 (champ) + 糸 (clef : soie),lèi,Fatigué,你很累 nǐ hěn lèi : Tu es fatigué
习,1 trait + 冫 (clef : glace),xí,Étudier,学习 xuéxí : Étudier
小,小 (clef : petit),xiǎo,Petit,她很小 tā hěn xiǎo : Elle est petite
兴,5 traits + 八 (clef : huit),xìng,Joie,高兴 gāoxìng : Content
学,宀 (clef : toit) + 子 (enfant),xué,Étudier,学习 xuéxí : Étudier
要,西 (clef : couvercle) + 女 (femme),yào,Vouloir,我要吃饭 wǒ yào chīfàn : Je veux manger
用,冂 (clef : étendue) + 3 traits,yòng,Utiliser,用筷子 yòng kuàizi : Utiliser des baguettes
知,矢 (clef : flèche) + 口 (bouche),zhī,Savoir,知道 zhīdào : Savoir
