character,components,phonetic,meaning,example_word
班,王 (clef : jade) + 6 traits,bān,Groupe,上班 shàngbān : Aller au travail
车,Pictogramme,chē,Véhicule,火车 huǒchē : Train
公,八 (clef : huit) + 2 traits,gōng,Public,公交车 gōngjiāochē : Bus
后,厂 + 口 (clef : bouche),hòu,Après/ensuite,以后 yǐhòu : Après
火,Pictogramme,huǒ,Feu,火车 huǒchē : Train
交,亠 (clef : tête) + 4 traits,jiāo,Échange,公交车 gōngjiāochē : Bus
开,廾 (clef : mains) + 1 trait,kāi,Ouvrir,开车 kāichē : Conduire
每,母 (clef : mère) + 2 traits,měi,Chaque,每天 měitiān : Tous les jours
然,月 + 犬 + 灬 (clef : feu),rán,Cependant,然后 ránhòu : Ensuite
始,女 (clef : femme) + 台,shǐ,Débuter,开始 kāishǐ : Commencer
同,口 (clef : bouche) + 门,tóng,Identique,同意 tóngyì : Être d'accord
先,儿 (clef : fils) + 4 traits,xiān,Premièrement,你先吃饭吧 nǐ xiān chīfàn ba : Mange d'abord !
意,心 (clef : cœur) + 音,yì,Signification,同意 tóngyì : Être d'accord
园,囗 (clef : enceinte) + 元,yuán,Jardin,公园 gōngyuán : Parc public
自,自 (clef : personnel),zì,Soi-même,自行车 zìxíngchē : Vélo
坐,土 (clef : sol) + 从,zuò,S'asseoir,坐车 zuò chē : Prendre un véhicule
