character,components,phonetic,meaning,example_word
爸,父 (clef : père) + 巴,bà,Papa,爸爸 bàba : Papa
北,匕 (clef : cuillère),běi,Nord,北京 Běijīng : Pékin
弟,弓 (clef : arc) + 4 traits,dì,Petit frère,弟弟 dìdi : Petit frère
地,土 (clef : sol) + 也,dì,Terre,地图 dìtú : Carte
都,者 + 阝 (clef : butte),dōu,Tout (L. 7),首都 shǒudū : Capitale
父,父 (clef : père),fù,Père,父亲 fùqīn : Père
哥,口 (clef : bouche) + 7 traits,gē,Grand frère,哥哥 gēge : Grand frère
跟,足 (clef : pied) + 艮,gēn,Avec,跟父母 gēn fùmǔ : Avec mes parents
馆,饣 (clef : nourriture) + 官,guǎn,Utilisé dans les noms de lieux,饭馆 fàngguǎn : Restaurant
家,宀 (clef : toit) + 豕 (cochon),jiā,Famille,我的家 wǒde jiā : Ma famille
姐,女 (clef : femme) + 且,jiě,Grande sœur,姐姐 jiějie : Grande sœur
京,亠 (clef : couvercle) + 6 traits,jīng,Capitale,北京 Běijīng : Pékin
觉,见 (clef : vision) + 5 traits,jué,Ressentir,觉得 juéde : Trouver que
口,口 (clef : bouche),kǒu,Bouche,三口人 sān kǒu rén : Trois personnes
里,里 (clef : village),lǐ,Intérieur,这里 zhèlǐ : Ici
妈,女 (clef : femme) + 马 (cheval),mā,Maman,妈妈 māma : Maman
妹,女 (clef : femme) + 未,mèi,Petite sœur,妹妹 mèimei : Petite sœur
