character,components,phonetic,meaning,example_word
次,冫 (clef : gel) + 欠,cì,Fois,第一次 dì yī cì : Première fois
饿,饣 (clef : nourriture) + 我,è,Avoir faim,我饿了 wǒ è le : J'ai faim
飞,飞 (clef : vol),fēi,Voler,飞机 fēijī : Avion
非,非 (clef : faux),fēi,Ne pas,非常 fēicháng : Extrêmement
风,风 (clef : vent),fēng,Vent,刮风 guāfēng : Venteux
行,彳 (clef : pied) + 亍,xíng,Marcher,行吗 ? Xíng ma ? Ok ?
机,木 (clef : arbre) + 几,jī,Machine,手机 shǒujī : Téléphone portable
景,日 (clef : soleil) + 京,jǐng,Scène,风景 fēngjǐng : Paysage
冷,冫 (clef : gel) + 令,lěng,Froid,天气很冷 tiānqì hěn lěng : Il fait froid
旅,方 (clef : carré) + 6 traits,lǚ,Voyage,旅行 lǚxíng : Voyage
热,执 + 灬 (clef : feu),rè,Chaud,天气很热 tiānqì hěn rè : Il fait chaud
外,夕 (clef : soir) + 2 traits,wài,Extérieur,外国人 wàiguórén : Étranger
夏,夂 (clef : lenteur) + 7 traits,xià,Été,夏天 xiàtiān : Été
雨,雨 (clef : pluie),yǔ,Pluie,下雨 xià yǔ : Il pleut
再,冂 (clef : étendue) + 4 traits,zài,À nouveau,再见 zàijiàn : Au revoir
张,弓 (clef : arc) + 长,zhāng,Classificateur,一张地图 yī zhāng dìtú : Une carte géographique
真,目 (clef : œil) + 5 traits,zhēn,Vraiment,真的吗 ? Zhēn de ma ? Vraiment ?
