character,components,phonetic,meaning,example_word
边,辶 (clef : marche) + 力,biān,Côté,旁边 pángbiān : Côté
第,竹 (clef : bambou) + 5 traits,dì,pour nombres ordinaux,第一 dì yī : Le premier
多,夕 (clef : soir) + 夕,duō,Beaucoup,多少 duōshǎo : Combien ?
贵,中 + 一 + 贝 (clef : coquille),guì,Cher,不贵 bù guì : Pas cher
近,辶 (clef : marche) + 斤,jìn,Proche,不近 bù jìn : Pas proche
块,土 (clef : sol) + 夬,kuài,Unité monétaire,三百块 sānbǎi kuài : 300 kuai
快,忄 (clef : cœur) + 夬,kuài,Rapide,太快了 tài kuài le : Trop vite
离,6 traits + 内,lí,Par rapport à,离这里很远 lí zhèlǐ hěn yuǎn : Loin d'ici
路,足 (clef : pied) + 各,lù,Route,走路 zǒulù : Marcher
面,面 (clef : face),miàn,Surface,里面 lǐmiàn : À l'intérieur
票,西 (clef : couvercle) + 示,piào,Ticket,火车票 huǒchēpiào : Billet de train
前,7 traits + 刂 (clef : couteau),qián,Devant,前面 qiánmiàn : Devant
市,一 + 巾 (clef : turban),shì,Ville,城市 chéngshì : Ville
心,心 (clef : cœur),xīn,Cœur,市中心 shìzhōngxīn : Centre-ville
右,2 traits + 口 (clef : bouche),yòu,Droite,右边 yòubiān : Droite
远,辶 (clef : marche) + 元,yuǎn,Loin,不远 bù yuǎn : Pas loin
走,走 (clef : marche),zǒu,Marcher,走路 zǒulù : Marcher
左,2 traits + 工 (clef : travail),zuǒ,Gauche,左边 zuǒbiān : Gauche
