character,components,phonetic,meaning,example_word
吃,口 (clef : bouche) + 乞 (supplier),chī,Manger,吃饭 chīfàn : Manger
儿,-,ér,Fils,哪儿 ? Nǎr ? Où ?
饭,饣 (clef : nourriture) + 反,fàn,Riz,吃饭 chīfàn : Manger
过,辶 (clef : marche) + 寸 (unité de mesure : pouce),guò,Déjà,过去 qù guo : Être déjà allé
候,亻 (clef : homme) + 8 traits,hòu,État/condition,时候 shíhòu : Moment
欢,又 (clef : de nouveau) + 欠,huān,Joie,喜欢 xǐhuan : Aimer
看,手 (clef : main) + 目 (œil),kàn,Regarder,看书 kànshū : Lire
哪,口 (clef : bouche) + 那 (là-bas),nǎ,Lequel,哪儿 ? Nǎr ? Où ?
去,土 (clef : terre) + 厶 (privé),qù,Aller,过去 qù guo : Être déjà allé
时,日 (clef : soleil) + 寸 (unité de mesure : pouce),shí,Moment,时候 shíhòu : Moment
所,户 (clef : maison) + 斤 (unité de mesure : 500g),suǒ,Donc,所以 suǒyǐ : Donc
为,-,wèi,Pour,-
文,-,wén,Culture,中文 zhōngwén : Chinois (langue)
喜,9 traits + 口 (clef : bouche),xǐ,Joie,喜欢 xǐhuan : Aimer
以,2 traits + 人 (clef : homme),yǐ,Afin de,所以 suǒyǐ : Donc
因,口 (clef : enceinte) + 大,yīn,Raison,因为 yīnwèi : Parce que
在,土 (terre),zài,Se situer à/en,我在 wǒ zài : Je suis là
