character,components,phonetic,meaning,example_word
比,匕 (clef : confrontation),bǐ,Comparer,我比你老 wǒ bǐ nǐ lǎo : Je suis plus âgé que toi
出,凵 (clef : récipient) + 山,chū,Sortir,出去 chūqù : Sortir
汉,氵 (clef : eau) + 又,hàn,Nom d'une dynastie chinoise,汉语 hànyǔ : Chinois
喝,口 (clef : bouche) + 曷,hē,Boire,喝水 hē shuǐ : Boire de l'eau
会,人 (clef : homme) + 云,huì,Savoir faire,会说 huì shuō : Savoir parler
男,田 (clef : champ) + 力 (force),nán,Masculin,男生 nánshēng : Garçon
女,pictogramme,nǚ,Féminin,女生 nǚshēng : Fille
朋,月 (clef : lune) + 月 (lune),péng,Ami (avec 友),朋友 péngyou : Ami
起,走 (clef : marche) + 己,qǐ,Élever,一起 yīqǐ : Ensemble
生,生 (clef : naissance),shēng,Naître,女生 nǚshēng : Fille
谁,讠 (clef : parole) + 隹,shuí,Qui ?,你是谁 ? Nǐ shuí ? Qui es-tu ?
说,讠 (clef : parole) + 兑,shuō,Parler,说法语 shuō fǎyǔ : Parler français
太,大 (clef : grandeur) + 1 trait,tài,Trop,太好了 tài hǎo le : Trop bien !
言,讠 (clef : parole),yán,Parole,语言 yǔyán : Langue
友,又 (clef : de nouveau) + 2 traits,yǒu,Ami,朋友 péngyou : Ami
语,讠 (clef : parole) + 吾,yǔ,Langue,法语 fǎyǔ : Français
只,口 (clef : bouche) + 八,zhī,Seulement,只有 zhǐyǒu : Il n'y a que
最,日 (clef : soleil) + 取,zuì,Le plus,最好 zuì hǎo : Le meilleur
