character,components,phonetic,meaning,example_word
本,木 (arbre) + 一 (un),bĕn,Racine,日本 Rìběn : Japon
不,Pictogramme,bù,Négation,不是 bù shì : Ne pas être
法,氵 (clef : eau) + 去 (aller),fǎ,Loi,法国 Făguó : France
国,囗 (clef : enceinte) + 玉 (jade),guó,Pays,中国 Zhōngguó : Chine
叫,口 (clef : bouche) + 丩,jiào,S'appeler,我叫 wŏ jiào : Je m'appelle
吗,口 (clef : bouche) + 马 (cheval),ma,Est-ce-que ?,你好吗 ? Nĭ hăo ma ? : Comment vas-tu ?
什,亻 (clef : homme) + 十 (dix),shén,Quoi ?,什么 shénme ? Quoi ?
么,-,me,?,什么 shénme ? Quoi ?
们,亻 (clef : homme) + 门 (porte),men,Marque de pluriel,你们 nĭmen : Vous
名,夕 (nuit) + 口 (clef : bouche),míng,Prénom,名字 míngzi : Prénom
呢,口 (clef : bouche) + 尼,ne,Et ?,你呢 ? Nĭ ne ? Et toi ?
人,Pictogramme,rén,Personne,中国人 zhōngguórén : Chinois
日,Pictogramme,rì,Jour/Soleil,日本 Rìběn : Japon
是,日 (soleil) + 足,shì,Être,我是 wŏ shì : Je suis
她,女 (clef : femme) + 也,tā,Elle/elle,她们 tāmen : Elles
他,亻 (clef : homme) + 也,tā,Il/lui,他们 tāmen : Ils
姓,女 (clef : femme) + 生 (vie/vivre),xìng,Nom de famille,我姓 wŏ xìng : Mon nom est...
中,Pictogramme,zhōng,Milieu,中国 Zhōngguó : Chine
子,宀 (clef : toit) + 子 (enfant),zì,Caractère (écriture),名字 míngzi : Prénom
