character,components,phonetic,meaning,example_word
把,扌 (clef : main) + 巴,bǎ,Voir partie grammaire,把书放在这儿 bǎ shū fàng zài zhèr : Mettre le livre ici
板,木 (clef : arbre) + 反,bǎn,Planche,在地板上 zài dìbǎn shàng : Sur le sol
产,厂 (clef : couvercle) + 4 traits,chǎn,Produire,生产 shēngchǎn : Produire
床,广 (clef : falaise) + 木,chuáng,Lit,床单 chuángdān : Draps
此,止 (clef : arrêt) + 匕,cǐ,Ce/cette,因此 yīncǐ : Ainsi
错,钅 (clef : métal) + 8 traits,cuò,Faux,错误 cuòwù : Erreur
共,八 (clef : huit) + 4 traits,gòng,Commun,一共 yī gòng : En tout
孩,子 (clef : enfant) + 亥,hái,Enfant,孩子 háizi : Enfant
济,氵 (clef : eau) + 齐,jì,Secourir,经济 jīngjì : Économie
进,辶 (clef : marche) + 井,jìn,Entrer,进来 jìn lái : Entrer
经,纟 (clef : soie) + 5 traits,jīng,Classique,经济 jīngjì : Économie
考,老 (clef : vieillesse) + 2 traits,kǎo,Examiner,考试 kǎoshì : Examen
楼,木 (clef : arbre) + 米 + 女,lóu,Étage,楼梯 lóutī : Escalier
室,宀 (clef : toit) + 至,shì,Pièce,卧室 wòshì : Chambre
完,宀 (clef : toit) + 元,wán,Terminer,吃完饭 chī wán fàn : Finir de manger
忘,心 (clef : cœur) + 亡,wàng,Oublier,我忘了 wǒ wàng le : J'ai oublié
租,禾 (clef : grain) + 且,zū,Louer,租房 fángzū : Loyer
