character,components,phonetic,meaning,example_word
常,8 traits + 巾 (clef : turban),cháng,Souvent,常常 chángcháng : Souvent
从,从 (deux hommes),cóng,Depuis,从这里 cóng zhèlǐ : D'ici
打,扌 (clef : main) + 丁,dǎ,Frapper,打网球 dǎ wǎngqiú : Faire du tennis
到,至 + 刂 (clef : couteau),dào,Jusqu'à,到这里 dào zhèlǐ : Jusqu'ici
得,彳 (clef : promenade) + 8 traits,de,Complément,我讲得很好 wǒ shuō de hěn hǎo : Je parle bien
东,一 + 4 traits,dōng,Est,东西 dōngxi : Chose
动,云 + 力 (clef : force),dòng,Mouvement,运动 yùndòng : Sport
较,车 (clef : véhicule) + 交,jiào,Comparer,比较 bǐjiào : Comparer
买,一 (clef : faucille) + 头,mǎi,Acheter,买东西 mǎi dōngxi : Faire du shopping
网,网 (clef : filet),wǎng,Filet/toile,上网 shàngwǎng : Aller sur internet
西,西 (clef : couvercle),xī,Ouest,东西 dōngxi : Chose
想,心 (clef : cœur) + 相,xiǎng,Souhaiter,我想要这个 wǒ xiǎng yào zhège : Je veux acheter ceci
样,木 (clef : arbre) + 羊,yàng,Manière,怎么样 ? Zěnmeyàng ? Comment ?
运,辶 (clef : marche) + 云,yùn,Déplacer,运动 yùndòng : Sport
怎,心 (clef : cœur) + 乍,zěn,Comment,怎么样 ? Zěnmeyàng ? Comment ?
做,亻 (clef : homme) + 故,zuò,Faire,你做什么 ? Nǐ zuò shénme ? Que fais-tu ?
