character,components,phonetic,meaning,example_word
岁,山 (montagne) + 夕,suì,Âge,你几岁 ? Nǐ jǐ suì : Quel âge as-tu ?
有,一 main tenant de la viande 月,yǒu,Avoir,我没有 wǒ méiyǒu : Je n'ai pas
一,-,yī,Un,十一 shíyī : Onze
二,-,èr,Deux,十二 shí'èr : Douze
三,-,sān,Trois,十三 shísān : Treize
四,-,sì,Quatre,十四 shísì : Quatorze
五,-,wǔ,Cinq,十五 shíwǔ : Quinze
六,-,liù,Six,十六 shílìu : Seize
七,-,qī,Sept,十七 shíqī : Dix-sept
八,-,bā,Huit,十八 shíbā : Dix-huit
九,-,jiǔ,Neuf,十九 shíjiǔ : Dix-neuf
十,-,shí,Dix,二十 èr shí : Vingt
百,一 (un) + 白 (blanc),bǎi,Cent,一百 yī bǎi : Cent
千,丿 + 十 (dix),qiān,Mille,三千 sān qiān : Trois mille
个,人 (clef : homme) + 卜,gè,Classificateur,一个人 yī gè rén : Une personne
几,-,jǐ,Combien ?,几个人 ? jǐ gè rén ? : Combien de personnes ?
两,一 (un) + 从 + 门,liǎng,Deux,两个人 liǎng gè rén : 2 personnes
没,氵 (clef : eau) + 4 traits,méi,Ne pas avoir,我没有 wǒ méiyǒu : Je n'ai pas
书,-,shū,Livre,一本书 yī běn shū : Un livre
